COMMON,RPS6KA1,RPS6KA1,RPS6KA2,RPS6KA2,RPS6KB1,RPS6KB1,RPS6KB2,RPS6KB2,EIF5A2,EIF5A2,EIF4E,EIF4E,EIF4EBP1,EIF4EBP1,RPS6,RPS6,HIF1A,HIF1A
A2058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2780,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CAOV3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
COLO320DM,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
DLD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EFM192B,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
ES2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HCT116,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HT144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HT29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KPL1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
LNCAP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOVO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MDAMB436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCIH1650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCIH2122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCIH23,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
NCIH460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCIH520,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
OV90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RKO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPMI7951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SKMEL30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SKMES1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SKOV3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SW620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SW837,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
T47D,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
UACC62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCAP,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ZR751,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
