COMMON,TERC,TERC,TERT,TERT
A2058,0,0,0,0
A2780,0,0,0,0
A375,0,0,0,0
CAOV3,0,1,0,1
COLO320DM,0,1,0,0
DLD1,0,0,0,0
EFM192B,0,0,0,0
ES2,0,0,0,0
HCT116,0,0,0,0
HT144,0,0,0,0
HT29,0,0,0,0
KPL1,0,0,0,0
LNCAP,0,0,0,0
LOVO,0,0,0,0
MDAMB436,0,0,0,0
MSTO,0,0,0,0
NCIH1650,0,0,0,0
NCIH2122,0,0,0,1
NCIH23,1,0,1,0
NCIH460,0,0,0,0
NCIH520,0,1,0,0
OV90,0,0,0,0
RKO,0,0,0,0
RPMI7951,0,0,0,0
SKMEL30,0,0,0,0
SKMES1,0,0,0,0
SKOV3,0,1,0,0
SW620,0,0,0,0
SW837,0,0,0,0
T47D,0,1,0,1
UACC62,0,0,0,0
VCAP,0,0,0,0
ZR751,0,0,0,0
